"village/city"	"sex"	"changes"	"2025M05"
"Total Faroe Islands"	"Total (sex)"	"Population primo"	54903
"Fugloyar municipality"	"Total (sex)"	"Population primo"	48
"- Hattarvík"	"Total (sex)"	"Population primo"	18
"- Kirkja"	"Total (sex)"	"Population primo"	30
"Viðareiðis municipality"	"Total (sex)"	"Population primo"	326
"- Viðareiði"	"Total (sex)"	"Population primo"	326
"Hvannasunds municipality"	"Total (sex)"	"Population primo"	435
"- Depil"	"Total (sex)"	"Population primo"	5
"- Hvannasund"	"Total (sex)"	"Population primo"	267
"- Múli"	"Total (sex)"	"Population primo"	0
"- Norðdepil"	"Total (sex)"	"Population primo"	162
"- Norðtoftir"	"Total (sex)"	"Population primo"	1
"Klaksvíkar municipality"	"Total (sex)"	"Population primo"	5521
"- Klaksvík"	"Total (sex)"	"Population primo"	5129
"- Árnafjørður"	"Total (sex)"	"Population primo"	64
"- Norðoyri"	"Total (sex)"	"Population primo"	154
"- Ánirnar"	"Total (sex)"	"Population primo"	54
"- Mikladalur"	"Total (sex)"	"Population primo"	26
"- Trøllanes"	"Total (sex)"	"Population primo"	14
"- Svínoy"	"Total (sex)"	"Population primo"	31
"- Húsar"	"Total (sex)"	"Population primo"	42
"- Syðradalur, Kalsoy"	"Total (sex)"	"Population primo"	7
"Kunoyar municipality"	"Total (sex)"	"Population primo"	155
"- Haraldssund"	"Total (sex)"	"Population primo"	69
"- Kunoy"	"Total (sex)"	"Population primo"	86
"Fuglafjarðar municipality"	"Total (sex)"	"Population primo"	1644
"- Fuglafjørður"	"Total (sex)"	"Population primo"	1634
"- Hellurnar"	"Total (sex)"	"Population primo"	10
"Eysturmunicipality"	"Total (sex)"	"Population primo"	2309
"- Leirvík"	"Total (sex)"	"Population primo"	1062
"- undir Gøtueiði"	"Total (sex)"	"Population primo"	31
"- Gøtugjógv"	"Total (sex)"	"Population primo"	51
"- Skálafjørður, Eystur municipality"	"Total (sex)"	"Population primo"	5
"- Norðragøta"	"Total (sex)"	"Population primo"	647
"- Syðrugøta"	"Total (sex)"	"Population primo"	513
"Nes municipality"	"Total (sex)"	"Population primo"	1600
"- Nes, Eysturoy"	"Total (sex)"	"Population primo"	367
"- Saltnes"	"Total (sex)"	"Population primo"	163
