"sex" "age" "village/city" "2026M03"
"Total (sex)" "Total (age)" "Total Faroe Islands" 55177
"Total (sex)" "Total (age)" "Akrar" 11
"Total (sex)" "Total (age)" "Argir" 2637
"Total (sex)" "Total (age)" "Ánirnar" 55
"Total (sex)" "Total (age)" "Árnafjørður" 67
"Total (sex)" "Total (age)" "Bøur" 72
"Total (sex)" "Total (age)" "Dalur" 39
"Total (sex)" "Total (age)" "Depil" 5
"Total (sex)" "Total (age)" "Eiði" 692
"Total (sex)" "Total (age)" "Elduvík" 12
"Total (sex)" "Total (age)" "Fámjin" 71
"Total (sex)" "Total (age)" "Froðba" 256
"Total (sex)" "Total (age)" "Fuglafjørður" 1636
"Total (sex)" "Total (age)" "Funningsfjørður" 61
"Total (sex)" "Total (age)" "Funningur" 41
"Total (sex)" "Total (age)" "Gásadalur" 15
"Total (sex)" "Total (age)" "Gjógv" 19
"Total (sex)" "Total (age)" "Glyvrar" 475
"Total (sex)" "Total (age)" "Gøtugjógv" 51
"Total (sex)" "Total (age)" "Haldórsvík" 118
"Total (sex)" "Total (age)" "Haraldssund" 64
"Total (sex)" "Total (age)" "Hattarvík" 19
"Total (sex)" "Total (age)" "Hellurnar" 10
"Total (sex)" "Total (age)" "Hestur" 14
"Total (sex)" "Total (age)" "Hov" 106
"Total (sex)" "Total (age)" "Hoyvík" 4740
"Total (sex)" "Total (age)" "Hósvík" 318
"Total (sex)" "Total (age)" "Húsar" 41
"Total (sex)" "Total (age)" "Húsavík" 64
"Total (sex)" "Total (age)" "Hvalba" 565
"Total (sex)" "Total (age)" "Hvalvík" 257
"Total (sex)" "Total (age)" "Hvannasund" 271
"Total (sex)" "Total (age)" "Hvítanes" 102
"Total (sex)" "Total (age)" "Innan Glyvur" 80
"Total (sex)" "Total (age)" "Kaldbak" 240
"Total (sex)" "Total (age)" "Kaldbaksbotnur" 7
"Total (sex)" "Total (age)" "Kirkja" 30
"Total (sex)" "Total (age)" "Kirkjubøur" 71
"Total (sex)" "Total (age)" "Klaksvík" 5174
"Total (sex)" "Total (age)" "Kolbeinagjógv" 29
"Total (sex)" "Total (age)" "Kollafjørður" 829
"Total (sex)" "Total (age)" "Koltur" -
"Total (sex)" "Total (age)" "Kunoy" 81
"Total (sex)" "Total (age)" "Kvívík" 383
"Total (sex)" "Total (age)" "Lamba" 156
"Total (sex)" "Total (age)" "Lambareiði" 12
"Total (sex)" "Total (age)" "Langasandur" 41
"Total (sex)" "Total (age)" "Leirvík" 1035
